,station,acc_precip
0,0,0.0
0,0,0.0
0,1,0.0
0,2,0.0
0,2,0.0
0,3,0.4
0,3,0.4
0,4,0.7
0,5,0.1
0,5,0.1
0,6,0.1
0,6,0.1
0,6,0.1
0,7,0.0
0,8,0.0
0,9,0.6
0,10,0.1
0,11,0.0
0,12,0.6
0,12,0.6
0,13,0.0
0,13,0.0
0,13,0.0
0,14,0.1
0,15,0.1
0,16,0.1
0,17,0.6
0,17,0.6
0,17,0.6
0,17,0.6
0,18,0.0
0,19,0.6
0,20,0.0
0,20,0.0
0,21,0.2
0,21,0.2
0,22,0.0
0,22,0.0
0,22,0.0
0,23,0.0
0,23,0.0
0,24,0.2
0,24,0.2
0,25,0.1
0,25,0.1
0,26,0.2
0,27,0.0
0,28,0.4
0,29,0.1
0,30,0.1
0,31,0.0
0,31,0.0
0,31,0.0
0,32,0.1
0,33,0.2
0,33,0.2
0,33,0.2
0,34,0.1
0,34,0.1
0,35,0.2
0,36,0.0
0,37,0.1
0,37,0.1
0,37,0.1
0,38,0.1
0,39,0.3
0,39,0.3
0,39,0.3
0,40,0.3
0,41,0.0
0,42,0.1
0,42,0.1
0,43,1.0
0,44,0.1
0,45,0.1
0,46,0.1
0,46,0.1
0,47,0.0
0,0,0.0
0,0,0.0
0,1,0.0
0,2,0.0
0,2,0.0
0,3,0.1
0,3,0.1
0,4,0.0
0,5,0.0
0,5,0.0
0,6,0.0
0,6,0.0
0,6,0.0
0,7,0.0
0,8,0.1
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.0
0,12,0.0
0,13,0.0
0,13,0.0
0,13,0.0
0,14,0.1
0,15,0.0
0,16,0.0
0,17,0.0
0,17,0.0
0,17,0.0
0,17,0.0
0,18,0.0
0,19,0.0
0,20,0.0
0,20,0.0
0,21,0.0
0,21,0.0
0,22,0.0
0,22,0.0
0,22,0.0
0,23,0.0
0,23,0.0
0,24,0.1
0,24,0.1
0,25,0.1
0,25,0.1
0,26,0.0
0,27,0.0
0,28,0.1
0,29,0.1
0,30,0.0
0,31,0.0
0,31,0.0
0,31,0.0
0,32,0.0
0,33,0.0
0,33,0.0
0,33,0.0
0,34,0.1
0,34,0.1
0,35,0.0
0,36,0.0
0,37,0.1
0,37,0.1
0,37,0.1
0,38,0.1
0,39,0.0
0,39,0.0
0,39,0.0
0,40,0.0
0,41,0.0
0,42,0.0
0,42,0.0
0,43,0.4
